,Longitude,Latitude,Year,Date,Hour,Districts
0,-73.67721816079799,45.518355338826,2018,2018/09/10,21,Montréal
1,-73.550943795552,45.547616760979004,2018,2018/07/08,22,Montréal
2,-73.60006888995,45.544772014382,2018,2018/06/19,6,Montréal
3,-73.645704322212,45.529995272564,2018,2018/05/11,2,Montréal
4,-73.629949662287,45.541304599591996,2018,2018/11/04,10,Montréal
5,-73.635335814611,45.549252647184,2018,2018/07/31,6,Montréal
6,-73.637671082835,45.546338887256,2018,2018/09/13,5,Montréal
7,-73.640028895132,45.501075959144,2018,2018/08/14,9,Montréal
8,-73.564030554495,45.506205187527,2018,2018/09/09,2,Montréal
9,-73.61822382061999,45.608363445924,2018,2018/09/18,12,Montréal
10,-73.636218637575,45.429986449473,2018,2018/07/17,17,Montréal
11,-73.602936761995,45.495234495747006,2018,2018/01/30,17,Montréal
12,-73.71951567302101,45.532421454659996,2018,2018/10/15,15,Montréal
13,-73.694026095081,45.513905546375,2018,2018/08/22,15,Montréal
14,-73.67383299962401,45.52101082248,2018,2018/02/04,11,Montréal
15,-73.87100284128701,45.475991106852,2018,2018/05/04,22,Montréal
16,-73.646555544189,45.595399102929,2018,2018/07/10,9,Montréal
17,-73.572285596325,45.506662133171,2018,2018/07/30,22,Montréal
18,-73.611880409609,45.599132731032,2018,2018/01/08,22,Montréal
19,-73.58536483339,45.561619584631,2018,2018/06/11,7,Montréal
20,-73.57973779609199,45.562539393701,2018,2018/03/08,15,Montréal
21,-73.829371511791,45.467596417937,2018,2018/05/18,3,Pointe-Claire
22,-73.583858831523,45.48867618825499,2018,2018/12/12,11,Westmount
23,-73.582921402194,45.564429081038,2018,2018/05/16,14,Montréal
24,-73.560343654478,45.537835347978,2017,2017/03/03,19,Montréal
25,-73.677221221251,45.50438870088,2017,2017/08/19,12,Montréal
26,-73.63127902501199,45.526402802976996,2017,2017/10/26,19,Montréal
27,-73.613341828677,45.550723693170006,2017,2017/12/11,11,Montréal
28,-73.60462888676999,45.572367123587,2017,2017/03/17,10,Montréal
29,-73.653328573988,45.494935795859995,2017,2017/01/11,5,Montréal
30,-73.87154167942799,45.490563745357,2017,2017/03/12,6,Montréal
31,-73.819984114541,45.506733249483005,2017,2017/09/08,16,Montréal
32,-73.555099795639,45.521847727349005,2017,2017/04/10,13,Montréal
33,-73.594223517667,45.503215943727,2017,2017/10/04,11,Montréal
34,-73.64694339820501,45.442346413847,2017,2017/08/21,10,Montréal
